Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,2JRjtJcq,20/06/2024,10:00,EUROPE - EURO,Slovenia,Serbia,ROUND 2,5.0,3.5,1.75,1.4,2.75,1.06,10.0,1.3,3.5,2.04,1.89,1.83,1.83,4.5,1.19,2.05,1.75,9.5,7.5,8.5,15.0,13.0,7.0,9.0,15.0,26.0,17.0,17.0,29.0,51.0,41.0,41.0,51.0,301.0
2,hOzSS3gf,20/06/2024,12:30,FINLAND - YKKONEN,KuPS Akatemia,VIFK,-,1.62,4.33,3.75,1.25,3.75,1.02,19.0,1.17,5.0,1.53,2.4,1.57,2.25,1.65,2.2,1.25,3.8,19.0,15.0,23.0,41.0,10.0,9.0,13.0,29.0,10.0,8.5,15.0,29.0,15.0,12.0,19.0,41.0,126.0
3,MPqOpakS,20/06/2024,13:00,EUROPE - EURO,Denmark,England,ROUND 2,5.75,3.5,1.7,1.44,2.63,1.08,8.0,1.4,3.0,2.2,1.67,2.1,1.67,5.25,1.16,2.15,1.68,8.0,6.0,7.5,13.0,13.0,7.0,9.0,17.0,29.0,19.0,21.0,34.0,67.0,51.0,51.0,81.0,501.0
4,0dbRaJjh,20/06/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,Arab Contractors,ROUND 23,1.32,4.55,8.75,1.32,3.11,1.01,9.7,1.23,3.4,1.7,1.93,2.02,1.62,,,,,11.5,21.0,60.0,250.0,6.5,9.25,28.0,120.0,6.0,8.5,23.0,100.0,8.0,11.5,30.0,120.0,201.0
5,Egg3kNzc,20/06/2024,16:00,EUROPE - EURO,Spain,Italy,ROUND 2,2.15,3.2,3.6,1.5,2.5,1.08,7.5,1.4,3.0,2.3,1.62,1.91,1.8,2.1,1.7,1.3,3.45,7.5,9.5,19.0,41.0,7.0,6.5,13.0,34.0,10.0,10.0,17.0,41.0,21.0,21.0,34.0,67.0,451.0
6,0CjHWIug,20/06/2024,16:00,CHILE - PRIMERA DIVISION,Nublense,Huachipato,ROUND 15,2.2,3.3,3.25,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,1.73,2.0,2.2,1.65,1.35,3.1,10.0,10.0,17.0,34.0,8.0,6.0,12.0,26.0,11.0,9.5,13.0,34.0,21.0,19.0,29.0,41.0,201.0
7,hlMCm4dE,20/06/2024,18:30,BRAZIL - SERIE A,Vitoria,Atletico-MG,ROUND 10,2.9,3.0,2.7,1.53,2.38,1.1,7.0,1.44,2.75,2.4,1.53,2.0,1.75,2.85,1.4,1.48,2.6,7.0,7.0,12.0,26.0,7.5,5.5,11.0,26.0,13.0,11.0,17.0,41.0,29.0,26.0,41.0,67.0,451.0
8,8IwxDWAR,20/06/2024,19:00,BRAZIL - SERIE B,Vila Nova FC,Mirassol,ROUND 11,2.63,3.1,2.8,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67,2.5,1.5,1.43,2.75,6.5,7.0,12.0,29.0,6.5,6.0,11.0,26.0,11.0,11.0,19.0,41.0,26.0,26.0,41.0,67.0,201.0
9,nBLGnOBK,20/06/2024,20:00,BRAZIL - SERIE A,Flamengo RJ,Bahia,ROUND 10,1.65,3.7,5.5,1.4,2.75,1.06,10.0,1.29,3.75,1.97,1.93,1.95,1.8,1.6,2.3,1.15,5.5,10.0,13.0,26.0,51.0,7.0,7.0,17.0,41.0,7.5,8.5,17.0,41.0,12.0,13.0,26.0,51.0,301.0
10,2wIPXvcB,20/06/2024,21:00,SOUTH AMERICA - COPA AMÉRICA,Argentina,Canada,ROUND 1,1.29,5.5,11.0,1.33,3.25,1.04,13.0,1.22,4.33,1.7,2.1,2.2,1.62,1.3,3.45,,,12.0,19.0,41.0,126.0,6.5,10.0,26.0,67.0,6.0,9.0,26.0,67.0,7.5,12.0,34.0,81.0,501.0
11,6e2ms2Zs,20/06/2024,21:30,BRAZIL - SERIE A,Palmeiras,Bragantino,ROUND 10,1.65,3.7,6.0,1.4,2.75,1.07,9.0,1.33,3.4,2.05,1.75,2.0,1.75,1.63,2.25,1.15,5.5,9.0,13.0,29.0,51.0,6.0,7.0,19.0,41.0,7.0,8.5,19.0,51.0,12.0,15.0,29.0,67.0,401.0
12,0C2FQkuR,20/06/2024,21:30,BRAZIL - SERIE B,Ceara,Sport Recife,ROUND 11,2.2,3.1,3.5,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.83,1.83,2.15,1.68,1.3,3.45,8.5,10.0,17.0,41.0,7.5,6.0,13.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,29.0,51.0,251.0
