Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
09.05.2024,19:00,EUROPE,EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS,Atalanta,Marseille,1.73,3.8,4.5,1.85,2.05,1.8,1.95
09.05.2024,19:00,EUROPE,EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS,Bayer Leverkusen,AS Roma,1.5,4.5,6.0,1.67,2.2,1.8,1.95
09.05.2024,19:00,EUROPE,EUROPA CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS,Olympiacos Piraeus,Aston Villa,3.6,4.0,1.91,1.5,2.5,1.5,2.5
09.05.2024,22:00,SOUTH AMERICA,COPA LIBERTADORES - GROUP STAGE - ROUND 4,Liverpool M. (Uru),Palmeiras (Bra),7.0,3.8,1.53,2.15,1.67,2.25,1.57
09.05.2024,22:00,SOUTH AMERICA,COPA LIBERTADORES - GROUP STAGE - ROUND 4,San Lorenzo (Arg),Ind. del Valle (Ecu),2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,ALGERIA,U21 LEAGUE - ROUND 25,Biskra U21,Oran U21,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,ALGERIA,U21 LEAGUE - ROUND 25,CR Belouizdad U21,Ben Aknoun U21,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,ALGERIA,U21 LEAGUE - ROUND 25,Khenchela U21,MC Alger U21,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,ALGERIA,U21 LEAGUE - ROUND 25,Paradou U21,ASO Chlef U21,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,ALGERIA,U21 LEAGUE - ROUND 25,USM Alger U21,El Bayadh U21,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,12:00,ARMENIA,PREMIER LEAGUE - ROUND 33,Pyunik Yerevan,Van,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,15:00,ARMENIA,PREMIER LEAGUE - ROUND 33,Ararat Yerevan,Noah,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,08:00,ASIA,AFC ASIAN CUP WOMEN U17 - ROUND 2,Philippines U17 W,North Korea U17 W,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,11:00,ASIA,AFC ASIAN CUP WOMEN U17 - ROUND 2,South Korea U17 W,Indonesia U17 W,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,BAHRAIN,PREMIER LEAGUE - ROUND 20,Al-Hala,Sitra,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,BAHRAIN,PREMIER LEAGUE - ROUND 20,Al-Hidd,Busaiteen,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,16:00,BAHRAIN,PREMIER LEAGUE - ROUND 20,Al-Najma,Manama Club,2.1,3.25,3.8,2.5,1.5,2.2,1.62
09.05.2024,13:30,BELGIUM,BELGIAN CUP - FINAL,Royale Union SG,Antwerp,1.75,3.8,4.2,1.85,2.0,1.8,1.91
09.05.2024,13:00,BOTSWANA,PREMIER LEAGUE - ROUND 26,BDF XI,Morupule,1.75,3.8,4.2,1.85,2.0,1.8,1.91
09.05.2024,13:00,BOTSWANA,PREMIER LEAGUE - ROUND 26,Sua Flamingoes,Gaborone Utd,1.75,3.8,4.2,1.85,2.0,1.8,1.91
09.05.2024,13:00,BURUNDI,COUPE DU PRESIDENT - QUARTER-FINALS,Lumiere de Ngozi,Flambeau du Centre,1.75,3.8,4.2,1.85,2.0,1.8,1.91
09.05.2024,13:00,BURUNDI,COUPE DU PRESIDENT - QUARTER-FINALS,Rukinzo,Kayanza,1.75,3.8,4.2,1.85,2.0,1.8,1.91
09.05.2024,15:00,DENMARK,LANDSPOKAL CUP - FINAL,Silkeborg,Aarhus,2.75,3.1,2.63,2.1,1.7,1.8,1.95
09.05.2024,11:30,DR CONGO,LIGUE 1 - RELEGATION GROUP - ROUND 3,Sanga Balende,Tshinkunku,2.75,3.1,2.63,2.1,1.7,1.8,1.95
09.05.2024,13:00,EGYPT,PREMIER LEAGUE - ROUND 22,El Ismaily,El Daklyeh,1.58,3.4,5.75,2.35,1.53,2.33,1.55
09.05.2024,16:00,EGYPT,PREMIER LEAGUE - ROUND 22,Smouha,ZED,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,21:30,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,11 Deportivo,Alianza FC,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,21:30,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Platense Municipal,Municipal Limeno,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,12:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,Fasil Kenema,Bahir Dar Kenema,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,15:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,Dire Dawa,Adama City,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,11:00,EUROPE,EURO U17 WOMEN - ROUND 2,Belgium U17 W,Portugal U17 W,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,13:30,EUROPE,EURO U17 WOMEN - ROUND 2,Spain U17 W,Poland U17 W,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,13:00,FAROE ISLANDS,FAROE ISLANDS CUP - QUARTER-FINALS,TB Tvoroyri,Toftir,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,14:00,FAROE ISLANDS,FAROE ISLANDS CUP - QUARTER-FINALS,B36 Torshavn,NSI Runavik,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,15:00,FAROE ISLANDS,FAROE ISLANDS CUP - QUARTER-FINALS,Streymur,HB Torshavn,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,Jazz Pori,TPS,2.45,2.45,3.4,2.65,1.42,2.04,1.72
09.05.2024,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,LPS,Mariehamn,2.45,2.45,3.4,2.65,1.42,2.04,1.72
