NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,EBOgF8bD,18/09/2024,00:00,MEXICO - LIGA MX,Queretaro,U.A.N.L.- Tigres,APERTURA ,5.75,3.8,1.62,1.33,3.25,1.05,11.0,1.22,4.0,1.8,2.0,1.8,1.95,5.5,1.15,2.3,1.6,11.0,7.5,8.0,12.0,15.0,7.0,8.5,13.0,29.0,17.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
2,6oLoHUT0,18/09/2024,00:05,MEXICO - LIGA MX,U.N.A.M.- Pumas,Puebla,APERTURA ,1.55,4.2,6.0,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,1.8,1.95,1.53,2.43,1.14,5.75,12.0,15.0,29.0,67.0,7.5,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
3,2TYR46vs,18/09/2024,07:00,JAPAN - J2 LEAGUE,Tokushima,Shimizu S-Pulse,ROUND 29,4.5,3.6,1.75,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.73,2.0,4.4,1.2,2.05,1.75,11.0,8.0,9.0,15.0,13.0,7.0,8.5,13.0,23.0,15.0,15.0,23.0,51.0,34.0,41.0,41.0,201.0
4,YLbeIcAB,18/09/2024,07:00,JAPAN - J1 LEAGUE,Nagoya Grampus,Albirex Niigata,ROUND 29,2.5,3.4,2.7,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.95,1.8,2.43,1.53,1.48,2.6,9.0,8.0,13.0,29.0,7.5,6.5,10.0,23.0,12.0,10.0,17.0,34.0,26.0,21.0,34.0,51.0,351.0
5,KIAgZAwe,18/09/2024,10:00,ARMENIA - PREMIER LEAGUE,Alashkert,FC Gandzasar,ROUND 7,1.33,4.65,6.9,1.26,3.48,1.01,11.5,1.13,4.4,1.52,2.22,1.9,1.86,,,,,14.5,17.5,37.0,120.0,7.0,8.25,18.0,55.0,6.1,7.2,15.5,50.0,7.4,9.0,19.0,60.0,350.0
6,SlXLHLTg,18/09/2024,11:00,ROMANIA - LIGA 2,Hunedoara,Selimbar,ROUND 1,1.57,3.65,6.0,1.44,2.6,1.08,6.5,1.37,2.85,2.15,1.65,2.15,1.62,1.7,2.07,,,6.5,13.0,35.0,120.0,5.4,7.2,19.5,75.0,6.3,8.5,21.0,80.0,10.75,14.5,35.0,120.0,900.0
7,SlNv0Ki3,18/09/2024,11:30,ISRAEL - LIGAT HA'AL,Maccabi Tel Aviv,Hapoel Jerusalem,ROUND 1,1.25,5.5,9.5,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.2,1.62,1.26,3.7,,,13.0,21.0,51.0,126.0,7.0,11.0,29.0,67.0,6.0,9.5,26.0,67.0,7.5,12.0,29.0,81.0,900.0
8,4UQq4SKH,18/09/2024,11:30,BULGARIA - PARVA LIGA,Slavia Sofia,Ludogorets,ROUND 2,7.0,4.5,1.42,1.3,3.4,1.04,13.0,1.22,4.0,1.7,2.1,1.83,1.83,6.4,1.12,2.75,1.43,13.0,7.5,7.0,9.5,19.0,9.0,8.5,12.0,41.0,21.0,19.0,23.0,81.0,51.0,51.0,51.0,251.0
9,tSJWV0Hm,18/09/2024,11:30,ESTONIA - MEISTRILIIGA,Kalju,Nomme Utd,ROUND 28,1.18,5.4,12.5,1.21,4.1,1.01,16.5,1.07,5.55,1.33,2.73,1.88,1.88,,,,,18.0,37.0,100.0,400.0,8.25,10.75,32.0,120.0,6.1,7.9,18.0,70.0,6.5,8.5,19.0,60.0,300.0
10,Uaf89f3M,18/09/2024,12:00,SLOVENIA - PRVA LIGA,Celje,Maribor,ROUND 2,2.1,3.45,3.2,1.37,2.85,1.05,7.8,1.25,3.55,1.78,1.98,1.62,2.15,2.05,1.72,,,7.8,11.0,18.0,45.0,8.5,6.7,11.0,26.0,11.0,8.5,12.5,30.0,20.0,15.5,23.0,50.0,350.0
