NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,Odd_AH_Neg15_H,Odd_AH_Pos15_A,Odd_AH_Pos15_H,Odd_AH_Neg15_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,zmnLEwc4,16/10/2024,08:00,ARMENIA - PREMIER LEAGUE,Alashkert,Noah,ROUND 11,3.91,3.78,1.73,1.33,3.04,1.04,8.3,1.19,3.62,1.72,1.99,1.64,2.2,,,,,7.2,1.02,1.28,3.22,9.0,7.0,8.0,15.0,9.5,5.5,7.0,12.0,14.0,10.0,10.0,20.0,34.0,21.0,26.0,41.0,201.0
2,lvvYhdzo,16/10/2024,12:00,ARMENIA - PREMIER LEAGUE,Urartu,Van,ROUND 11,1.6,3.75,4.5,1.32,3.1,1.02,9.6,1.19,3.64,1.7,1.93,1.74,2.04,,,,,2.57,1.42,1.03,9.2,11.75,11.5,22.0,55.0,6.4,6.5,12.5,32.0,6.8,6.9,12.5,35.0,10.25,10.25,19.0,50.0,300.0
3,h6ZMDAbs,16/10/2024,12:00,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Rampla Juniors,CLAUSURA ,1.75,3.3,4.75,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8,1.83,2.03,1.21,4.25,3.3,1.33,1.03,9.1,8.5,12.0,23.0,51.0,6.5,6.5,15.0,41.0,8.0,8.5,17.0,41.0,15.0,15.0,29.0,51.0,351.0
4,jR65eW0c,16/10/2024,15:00,SPAIN - PRIMERA RFEF,Antequera,Marbella,GROUP 2 ,2.2,3.0,3.1,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.2,1.62,2.3,1.6,1.35,3.1,4.8,1.18,1.03,6.85,6.5,7.5,15.0,34.0,6.0,6.5,13.0,34.0,9.5,10.0,21.0,41.0,21.0,23.0,41.0,81.0,900.0
5,lYSVBlTg,16/10/2024,15:00,URUGUAY - PRIMERA DIVISION,Danubio,Penarol,CLAUSURA ,4.33,3.25,1.85,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62,4.1,1.23,1.95,1.9,10.0,1.02,1.28,3.55,7.0,5.5,7.5,15.0,9.5,6.5,9.0,19.0,21.0,15.0,21.0,34.0,51.0,41.0,51.0,67.0,201.0
6,dbWwASc6,16/10/2024,17:30,URUGUAY - PRIMERA DIVISION,Boston River,Progreso,CLAUSURA ,2.0,3.1,3.8,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83,2.05,1.8,1.26,3.7,3.8,1.25,1.02,7.4,8.5,11.0,19.0,41.0,7.0,6.0,13.0,34.0,9.5,9.0,15.0,41.0,17.0,17.0,29.0,51.0,301.0
7,Wl0mSI6c,16/10/2024,19:00,CHILE - PRIMERA DIVISION,Union La Calera,Colo Colo,ROUND 25,6.25,3.7,1.57,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,2.2,1.62,5.75,1.14,2.35,1.58,11.5,1.01,1.45,2.68,8.0,5.5,6.5,11.0,13.0,7.5,9.0,15.0,29.0,21.0,21.0,34.0,67.0,51.0,51.0,81.0,1000.0
8,Q3VpiiuH,16/10/2024,19:00,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,2 de Mayo,CLAUSURA ,2.1,3.2,3.6,1.44,2.63,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8,2.1,1.7,1.3,3.45,4.25,1.21,1.02,7.1,8.0,9.5,17.0,41.0,6.5,6.0,13.0,34.0,9.5,9.5,15.0,41.0,19.0,19.0,34.0,51.0,351.0
9,jTuvbXzt,16/10/2024,20:00,BRAZIL - SERIE B,Chapecoense-SC,Santos,ROUND 32,4.5,3.25,1.85,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62,4.25,1.21,1.95,1.9,10.0,1.03,1.28,3.55,7.0,5.5,7.5,15.0,9.5,6.5,9.0,19.0,21.0,15.0,19.0,34.0,51.0,41.0,51.0,67.0,1250.0
10,IDKn86SI,16/10/2024,20:00,URUGUAY - PRIMERA DIVISION,River Plate,Defensor Sp.,CLAUSURA ,3.6,3.3,2.0,1.4,2.75,1.06,10.0,1.3,3.4,2.05,1.8,1.8,1.91,3.45,1.3,1.8,2.05,7.0,1.03,1.25,3.8,9.5,7.5,9.5,17.0,11.0,6.5,9.0,17.0,19.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,251.0
11,fB9eBDzG,16/10/2024,21:30,BRAZIL - SERIE B,Sport Recife,Operario,ROUND 16,1.57,3.9,6.0,1.5,2.5,1.07,9.0,1.4,2.75,2.2,1.65,2.25,1.57,1.55,2.38,1.15,5.5,2.68,1.45,,,8.0,11.0,29.0,67.0,5.5,8.0,19.0,51.0,6.5,9.0,23.0,51.0,11.0,15.0,34.0,81.0,201.0
12,t47Y0r7B,16/10/2024,21:45,BRAZIL - SERIE A BETANO,Fortaleza,Atletico-MG,ROUND 30,1.75,3.5,5.25,1.44,2.63,1.08,8.0,1.4,3.0,2.2,1.65,2.05,1.7,1.73,2.08,1.18,4.65,3.1,1.35,1.02,11.5,8.0,11.0,23.0,51.0,6.0,6.5,17.0,41.0,7.5,9.0,19.0,51.0,13.0,15.0,34.0,67.0,501.0
13,ns8U1Oi5,16/10/2024,21:45,BRAZIL - SERIE A BETANO,Sao Paulo,Vasco,ROUND 30,1.67,3.7,5.25,1.5,2.5,1.08,8.0,1.44,2.75,2.3,1.6,2.2,1.62,1.65,2.2,1.17,5.0,3.0,1.38,1.01,12.0,8.0,11.0,26.0,51.0,5.5,7.0,17.0,41.0,7.0,9.0,21.0,51.0,12.0,15.0,34.0,81.0,501.0
14,OvLfNxCl,16/10/2024,22:05,COLOMBIA - PRIMERA A,Millonarios,Fortaleza,CLAUSURA ,1.73,3.4,5.0,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,2.2,1.62,1.72,2.05,1.18,4.8,3.1,1.35,1.01,11.0,7.0,11.0,23.0,51.0,5.5,7.0,17.0,41.0,7.0,9.0,21.0,51.0,13.0,17.0,34.0,81.0,201.0
