Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,GzDxAkKm,27/05/2024,07:30,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Asan,ROUND 15,2.35,2.88,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83,2.38,1.55,1.38,3.0,8.0,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,10.0,15.0,41.0,23.0,21.0,34.0,51.0,301.0
2,UwHt99Zg,27/05/2024,07:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Busan,ROUND 15,4.75,3.7,1.6,1.36,3.0,1.04,13.0,1.25,3.75,1.83,1.98,1.83,1.83,4.65,1.18,2.25,1.63,11.0,7.0,7.5,12.0,13.0,7.5,8.5,13.0,26.0,17.0,17.0,26.0,51.0,41.0,41.0,51.0,301.0
3,21YrE9B2,27/05/2024,10:00,EGYPT - PREMIER LEAGUE,Pyramids,El Gouna,ROUND 25,1.31,4.75,8.75,1.26,3.62,1.02,14.9,1.2,3.65,1.5,2.27,1.75,1.85,,,,,14.5,25.0,65.0,250.0,8.5,9.75,27.0,110.0,7.2,8.25,19.5,80.0,8.75,10.25,23.0,80.0,600.0
4,4UKKEPVc,27/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,VPS,Inter Turku,-,1.9,3.7,3.6,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2,1.93,1.93,1.28,3.55,13.0,13.0,21.0,41.0,9.0,7.0,12.0,26.0,10.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
5,OI3NF5Gi,27/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,Lahti,SJK,-,3.25,3.5,1.91,1.4,2.75,1.04,13.0,1.25,3.75,1.85,2.0,1.8,1.95,3.45,1.3,1.88,1.98,11.0,7.5,9.5,17.0,10.0,7.0,8.5,15.0,19.0,12.0,15.0,26.0,41.0,29.0,34.0,51.0,251.0
6,IodkQjnI,27/05/2024,13:00,ESTONIA - MEISTRILIIGA,Tammeka,Narva,ROUND 13,1.9,3.55,3.3,1.33,3.14,1.01,11.5,1.2,3.84,1.65,1.98,1.61,2.25,1.83,1.78,,,12.5,10.0,15.5,35.0,7.5,6.2,9.75,22.0,8.75,7.2,10.75,24.0,14.0,11.75,17.5,37.0,200.0
7,EyxmDTQ8,27/05/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ittihad,Zamalek,ROUND 25,3.7,3.15,2.0,1.44,2.4,1.03,8.0,1.32,2.82,1.93,1.7,1.75,1.85,,,1.78,1.93,8.5,6.8,9.25,18.0,10.25,6.1,8.5,16.5,21.0,12.5,14.0,28.0,60.0,35.0,40.0,70.0,600.0
8,d0RiCmtF,27/05/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,ZED,ROUND 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,lMbIAJCg,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Aalesund,Asane,ROUND 10,2.05,3.6,3.1,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,2.05,1.75,1.35,3.1,13.0,12.0,17.0,34.0,9.5,7.0,11.0,23.0,11.0,9.0,13.0,29.0,19.0,15.0,23.0,41.0,151.0
10,zFIsHLZP,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Raufoss,Lyn,ROUND 10,2.5,3.5,2.5,1.36,3.0,1.04,13.0,1.25,3.75,1.8,2.0,1.62,2.2,2.5,1.5,1.5,2.5,13.0,10.0,13.0,26.0,10.0,7.0,10.0,19.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
11,G80ACurs,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Sandnes,Kongsvinger,ROUND 10,3.4,4.75,1.73,1.25,3.75,1.02,21.0,1.13,6.0,1.4,2.88,1.5,2.5,3.45,1.3,2.05,1.75,23.0,12.0,11.0,15.0,17.0,10.0,9.0,12.0,23.0,12.0,15.0,19.0,41.0,23.0,23.0,41.0,101.0
12,faaEBacm,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Stabaek,Egersund,ROUND 10,1.91,3.9,3.3,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.5,1.5,2.5,1.98,1.88,1.33,3.3,19.0,15.0,21.0,41.0,11.0,8.0,12.0,23.0,12.0,9.0,12.0,23.0,19.0,13.0,19.0,34.0,101.0
13,xGj9vXNE,27/05/2024,14:00,ROMANIA - LIGA 1,Csikszereda M. Ciuc,Din. Bucuresti,RELEGATION ,4.2,3.75,1.7,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,1.8,1.91,4.15,1.22,2.1,1.7,12.0,7.5,8.5,13.0,13.0,7.5,8.5,13.0,21.0,15.0,15.0,23.0,51.0,34.0,41.0,51.0,201.0
14,jsuRE30g,27/05/2024,14:00,SWEDEN - ALLSVENSKAN,Norrkoping,Varnamo,ROUND 11,1.95,3.75,3.4,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,1.7,2.05,2.02,1.88,1.3,3.45,13.0,11.0,19.0,41.0,8.5,7.0,12.0,26.0,10.0,8.5,15.0,29.0,17.0,15.0,23.0,41.0,201.0
15,rLVegIsJ,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Bryne,Ranheim,ROUND 10,1.9,3.7,3.5,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25,1.93,1.93,1.28,3.55,15.0,13.0,21.0,41.0,9.5,7.5,13.0,26.0,11.0,8.5,13.0,29.0,17.0,15.0,21.0,41.0,151.0
16,dOJwI1KJ,27/05/2024,14:00,NORWAY - OBOS-LIGAEN,Mjondalen,Moss,ROUND 10,2.3,3.5,2.75,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.57,2.25,2.3,1.6,1.43,2.75,13.0,11.0,15.0,29.0,10.0,7.0,11.0,21.0,13.0,9.5,13.0,26.0,23.0,17.0,23.0,41.0,151.0
17,C0qZWuRm,27/05/2024,14:00,SWEDEN - SUPERETTAN,Trelleborg,Sundsvall,ROUND 10,1.73,3.8,4.2,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.7,2.05,1.75,2.05,1.24,3.9,13.0,13.0,23.0,41.0,8.0,7.5,13.0,34.0,9.0,8.5,15.0,34.0,15.0,13.0,23.0,41.0,201.0
18,jirwWatf,27/05/2024,14:00,SWEDEN - SUPERETTAN,Utsikten,Brage,ROUND 10,2.25,3.4,3.0,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,1.75,2.0,2.25,1.63,1.38,3.0,10.0,10.0,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,13.0,34.0,21.0,19.0,26.0,41.0,201.0
19,Gruamho3,27/05/2024,14:00,BULGARIA - PARVA LIGA,Slavia Sofia,CSKA 1948 Sofia,CONFERENCE LEAGUE GROUP ,3.7,3.6,1.95,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.73,2.0,3.45,1.3,1.85,2.0,11.0,8.0,9.5,17.0,12.0,7.0,8.5,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,201.0
20,CAY7oWFF,27/05/2024,14:00,BULGARIA - PARVA LIGA,Botev Plovdiv,Arda,CONFERENCE LEAGUE GROUP ,4.1,3.9,1.8,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2,3.9,1.24,2.05,1.75,15.0,9.0,9.5,15.0,15.0,7.5,8.5,13.0,23.0,13.0,13.0,21.0,41.0,29.0,34.0,41.0,151.0
21,xzajL5NP,27/05/2024,14:10,SWEDEN - ALLSVENSKAN,AIK,Goteborg,ROUND 11,2.0,3.6,3.5,1.4,2.75,1.05,11.0,1.3,3.4,2.05,1.8,1.8,1.95,2.08,1.82,1.33,3.3,10.0,9.5,17.0,41.0,7.0,7.0,12.0,29.0,9.5,9.0,17.0,34.0,17.0,17.0,29.0,51.0,301.0
